,Staphylococcus,Streptococcus,Veillonella,Prevotella,Streptococcus,Pseudomonas,Streptococcus,Rothia,Neisseria,Actinomyces,Prevotella,Pasteurellaceae_unclassified,Gemella,Parvimonas,Rothia,Fusobacterium,Porphyromonas,Lactobacillales_unclassified,Haemophilus,Prevotella,Actinomyces,Leptotrichia,Streptococcus,Fusobacterium,Veillonella,Atopobium,Actinomyces,Prevotellaceae_unclassified,Fusobacterium,Firmicutes_unclassified,Prevotella,Capnocytophaga,Prevotellaceae_unclassified,Porphyromonas,Peptostreptococcus,Bifidobacterium,Burkholderia,Burkholderia,Capnocytophaga,Prevotella,Prevotella,Streptococcus,Megasphaera,Alloprevotella,Stomatobaculum,Stenotrophomonas,Prevotella,Scardovia,Prevotella,Lachnoanaerobaculum,Prevotella,Oribacterium,Leptotrichia,Prevotella,Bacteroidetes_unclassified,Solobacterium,Achromobacter,Prevotella
J0002,0.30465587,0.123665808,0.043522267,0.011777696,0.099926389,0.157005275,0.002515029,0.040547172,0.005152742,0.019077414,0,3.07E-05,0.017390504,0,0.008649245,0,0,0.022144522,3.07E-05,0,0.003036437,0.016593056,0.000920132,0.041988713,0.000521408,9.20E-05,3.07E-05,0,3.07E-05,0,0,0,3.07E-05,0.010857563,0,0,0,0,0.015795608,0,0.020058888,0,0,0,0,0,0.014292725,0.000184026,0,0,0,0.003803214,0,0,0,0.00027604,0,0.001104159
J0011,0.180708181,0,0.004884005,0.004884005,0.214896215,0,0,0.001221001,0,0,0.123321123,0.008547009,0.048840049,0,0,0,0,0,0.002442002,0,0,0,0.001221001,0.155067155,0,0,0,0,0,0,0.225885226,0,0,0,0,0,0,0,0,0,0.001221001,0,0.002442002,0,0,0.001221001,0,0,0,0,0,0,0,0,0,0,0,0
J0022,0.139237294,0.150511129,0.066337998,0.107083303,0.047632857,3.63E-05,0.019067643,0.032806496,0.057674183,0.038570289,0.000398753,0.079351845,0.035887769,0.015660117,0.002755021,7.25E-05,0,0.017871384,0.001957515,7.25E-05,0.000435003,0.018233887,0,0.000362503,0.007213804,0.002755021,0.000833756,0,0.04005655,0.000145001,7.25E-05,0,0.020735156,0.020481404,0.005111288,0,0,3.63E-05,0.004930037,0.011310085,0.00271877,0,0.00938882,0,0.000108751,0,0.014391358,0,0.000616255,0.00134126,0,0.004785036,3.63E-05,0,0,0.002283767,7.25E-05,0
J0024,7.42E-05,0.006608705,0.00270651,0.00114934,0.001297642,0.020243215,0.001983538,0.002159647,0.006831158,0.001121533,0.142527436,9.27E-06,0.000630283,0.141498591,0.001038114,0.144047531,0.121820777,0.000352217,0.000954694,0.098453952,0.001214222,0,0.052925256,0.00131618,0,4.63E-05,9.27E-06,0.048568886,6.49E-05,0.039781996,1.85E-05,0,0.000194646,0.000259528,0.02118864,0,0,1.85E-05,0.001019576,7.42E-05,9.27E-05,0,0.000185377,0.010297716,3.71E-05,4.63E-05,0.000194646,7.42E-05,0.000120495,0.000111226,0,1.85E-05,0,0,0.000472712,0.000843467,0,0.000148302
J0033,0,0.282697548,0.018392371,0.000681199,0.010217984,0,0.006811989,0.017029973,0,0.002043597,0.026566757,0,0.038828338,0.008174387,0.002043597,0,0,0.010899183,0,0.008174387,0.008174387,0,0,0.004768392,0,0.000681199,0,0,0,0.000681199,0.01226158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512942779,0,0.005449591,0,0.000681199,0,0,0,0,0,0,0,0
J0061,0.001265823,0.005063291,0.006329114,0.003797468,0.016455696,0.860759494,0.007594937,0.001265823,0.002531646,0.002531646,0.002531646,0,0.001265823,0.002531646,0.007594937,0,0,0.003797468,0,0,0,0,0,0.011392405,0.011392405,0,0,0,0,0,0,0,0.001265823,0.001265823,0,0,0,0,0.002531646,0.001265823,0.002531646,0,0,0,0,0.018987342,0,0,0,0,0,0.001265823,0,0,0,0,0,0.001265823
J0079,0,0.195277021,0.058128974,0.066303361,0.10808356,0,0.102633969,0.031789282,0,0.032697548,0,0,0.050862852,0.004541326,0.021798365,0,0.031789282,0,0,0,0.00181653,0,0.0208901,0.016348774,0.021798365,0.007266122,0,0,0,0,0,0,0,0,0,0.000908265,0,0.188010899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004541326,0,0,0,0,0,0
J0088,0.073771994,0.11061217,0.078995601,0.044904692,0.163306452,0.176228006,0.023826979,0.041972141,0.012463343,0.029875367,0.002107771,0.038123167,0.010630499,0.004032258,0.005131965,0.000274927,0.006873167,0.025293255,0.002016129,0,0.010172287,0.010722141,0.002291056,0.005590176,0,0.001008065,0.000366569,0,0.005223607,0.000733138,0.009805718,0,0.001832845,0.001741202,0.000641496,0,0,9.16E-05,0,0.005590176,0.00082478,0,0.003207478,0,0.002749267,9.16E-05,0.000458211,0.00164956,0.008156158,0,0,0.005956745,0,0.006231672,0.000183284,0.000916422,0,0
J0093,0,0.0496614,0.11738149,0.158013544,0.042889391,0,0.072234763,0,0.001128668,0.091422122,0,0.016930023,0,0,0.015801354,0,0,0.015801354,0,0,0.002257336,0,0.004514673,0.003386005,0.002257336,0.003386005,0,0,0,0,0.002257336,0,0,0,0,0.009029345,0.002257336,0.266365688,0,0,0.058690745,0,0.0496614,0,0,0,0,0.001128668,0,0,0,0,0,0,0,0.001128668,0,0
J0094,0.278465347,0.016089109,0.090346535,0.069306931,0.080445545,0.028465347,0.058168317,0.007425743,0,0.060643564,0,0.001237624,0.007425743,0.013613861,0.001237624,0,0,0.011138614,0.006188119,0,0.002475248,0,0.022277228,0.028465347,0.008663366,0.002475248,0.030940594,0,0.002475248,0.006188119,0,0,0.007425743,0,0,0.001237624,0,0,0,0.007425743,0.013613861,0,0.028465347,0,0.001237624,0,0,0,0.027227723,0.001237624,0,0,0,0.014851485,0,0.002475248,0,0
